# Chordwise load of component: right_wing
# spanwise_location: 3.000 ; chord_length: 1.514
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.194354205692912E+001  0.179313805915763E+001  0.164270813504688E+001  0.149215298948141E+001  0.134132397942318E+001  0.119014636069891E+001  0.103866072234585E+001  0.887051244259697E+000  0.735598938332405E+000  0.588624786792652E+000  0.587185936081897E+000  0.732214426160011E+000  0.882890152585483E+000  0.103414666869496E+001  0.118568300935415E+001  0.133729421067545E+001  0.148883343234651E+001  0.164027374001411E+001  0.179166306754933E+001  0.194303660080773E+001
  0.473297205353882E-001  0.274418633852611E-001  0.776911570943493E-002 -0.108794168171674E-001 -0.270337416078049E-001 -0.391706150192473E-001 -0.457110634815172E-001 -0.463318019106202E-001 -0.407065781311870E-001 -0.180702860250646E-001  0.235329028133345E-001  0.574010871795588E-001  0.745778157344993E-001  0.855305315023910E-001  0.905682417285226E-001  0.900024767568885E-001  0.854064715821314E-001  0.783046462482063E-001  0.701729040934892E-001  0.618252186072010E-001
# t, dFz
  0.125000000000000E+002 -0.391528112429123E-003 -0.212914870683083E-003  0.314181474273677E-003  0.723473579262780E-003  0.894483596221817E-003  0.712434683070700E-003  0.224982370278037E-003 -0.927566535566254E-004 -0.198452202090887E-004  0.555664101342887E-002 -0.200864204980690E-001 -0.518368583882568E-002 -0.294386915524212E-002 -0.160516904126798E-002 -0.312602671611881E-003  0.383310578345012E-003  0.515738498697024E-003  0.302315358579864E-003 -0.525898977440110E-004 -0.277184605341669E-003
  0.130000000000000E+002 -0.391217618645097E-003 -0.212729902677724E-003  0.314263223232975E-003  0.723466445648115E-003  0.894412123349747E-003  0.712342366312447E-003  0.224935315302625E-003 -0.927159597136484E-004 -0.195923946376318E-004  0.555833058969725E-002 -0.200920881853756E-001 -0.518450657960958E-002 -0.294422939292741E-002 -0.160532715059529E-002 -0.312627869044282E-003  0.383334940525001E-003  0.515756892744538E-003  0.302297837013397E-003 -0.526548713486791E-004 -0.277307408325174E-003
  0.135000000000000E+002 -0.390982604737140E-003 -0.212592161772080E-003  0.314320834587435E-003  0.723455481671545E-003  0.894352065240646E-003  0.712267536698348E-003  0.224897655342692E-003 -0.926836336341179E-004 -0.193927626957412E-004  0.555965791790746E-002 -0.200965322723340E-001 -0.518515301756664E-002 -0.294451439669637E-002 -0.160545287624421E-002 -0.312648059953598E-003  0.383354803472451E-003  0.515773039602801E-003  0.302286535908279E-003 -0.527030101231986E-004 -0.277400356106220E-003
  0.140000000000000E+002 -0.390803539622131E-003 -0.212488781059278E-003  0.314361754240957E-003  0.723443182663530E-003  0.894302004890503E-003  0.712206883052116E-003  0.224867434622099E-003 -0.926578446908475E-004 -0.192342580352580E-004  0.556070741676573E-002 -0.201000402815329E-001 -0.518566517240565E-002 -0.294474098771875E-002 -0.160555322992893E-002 -0.312664274857860E-003  0.383370980082597E-003  0.515786952747779E-003  0.302279337648585E-003 -0.527389226966069E-004 -0.277471125577409E-003
  0.145000000000000E+002 -0.390666197338109E-003 -0.212410597051287E-003  0.314391020626292E-003  0.723430901316605E-003  0.894260456894076E-003  0.712157655284283E-003  0.224843104082805E-003 -0.926371786475045E-004 -0.191077238087869E-004  0.556154233550852E-002 -0.201028268600535E-001 -0.518607324448606E-002 -0.294492202677779E-002 -0.160563365866802E-002 -0.312677334321892E-003  0.383384159672607E-003  0.515798804759857E-003  0.302274846287990E-003 -0.527659002248319E-004 -0.277525341943718E-003
  0.150000000000000E+002 -0.390560193232391E-003 -0.212351067432879E-003  0.314412044677655E-003  0.723419293919072E-003  0.894226005462395E-003  0.712117590115686E-003  0.224823435654330E-003 -0.926205365975220E-004 -0.190061514498545E-004  0.556221054282303E-002 -0.201050539060148E-001 -0.518640023106022E-002 -0.294506741628872E-002 -0.160569841182631E-002 -0.312687891446680E-003  0.383394918761811E-003  0.515808841751407E-003  0.302272150842670E-003 -0.527862933070918E-004 -0.277567126806897E-003
  0.155000000000000E+002 -0.390478054336194E-003 -0.212305646968484E-003  0.314426973141817E-003  0.723408439892940E-003  0.894197224018158E-003  0.712084732057303E-003  0.224807415818225E-003 -0.926070350230210E-004 -0.189240188799284E-004  0.556274913671245E-002 -0.201068461206708E-001 -0.518666408026378E-002 -0.294518499355258E-002 -0.160575090784087E-002 -0.312696484884110E-003  0.383403761926501E-003  0.515817383636837E-003  0.302270721251287E-003 -0.528017317126651E-004 -0.277599458378789E-003
  0.160000000000000E+002 -0.390414700592059E-003 -0.212271524106722E-003  0.314436735977153E-003  0.723397702662923E-003  0.894172411163437E-003  0.712057154486267E-003  0.224794114256263E-003 -0.925958971157860E-004 -0.188566422320845E-004  0.556318860190116E-002 -0.201083045239668E-001 -0.518687968872391E-002 -0.294528142064510E-002 -0.160579413134307E-002 -0.312703603914947E-003  0.383411189740592E-003  0.515824893858345E-003  0.302270409568617E-003 -0.528132199876977E-004 -0.277624381075995E-003
  0.165000000000000E+002 -0.390367080498608E-003 -0.212247451241813E-003  0.314441047777844E-003  0.723385586351777E-003  0.894149353197465E-003  0.712032715161069E-003  0.224782568996173E-003 -0.925863578552393E-004 -0.187996091399712E-004  0.556355643307421E-002 -0.201095181720388E-001 -0.518706063647144E-002 -0.294536295832145E-002 -0.160583097852539E-002 -0.312709745626624E-003  0.383417760075175E-003  0.515832047912316E-003  0.302271466102202E-003 -0.528211962124238E-004 -0.277643153029903E-003
  0.170000000000000E+002 -0.390333156880321E-003 -0.212232801232971E-003  0.314439317641463E-003  0.723370542874204E-003  0.894125950708470E-003  0.712009440554685E-003  0.224771902800704E-003 -0.925777226906388E-004 -0.187489265470849E-004  0.556387739930441E-002 -0.201105666989619E-001 -0.518721909072884E-002 -0.294543521684047E-002 -0.160586404856317E-002 -0.312715358686282E-003  0.383423986034995E-003  0.515839504047965E-003  0.302274229151960E-003 -0.528258692626979E-004 -0.277656624825524E-003
  0.175000000000000E+002 -0.390310069939451E-003 -0.212225712300847E-003  0.314432590382670E-003  0.723352841500315E-003  0.894101829672249E-003  0.711986644587669E-003  0.224761719485746E-003 -0.925696202336967E-004 -0.187021361086997E-004  0.556416873546848E-002 -0.201115081213074E-001 -0.518736308052965E-002 -0.294550154163968E-002 -0.160589472642521E-002 -0.312720647258970E-003  0.383430037397228E-003  0.515847317573839E-003  0.302278415690535E-003 -0.528279137951976E-004 -0.277665942954635E-003
  0.180000000000000E+002 -0.390293292330738E-003 -0.212222333097815E-003  0.314424254640829E-003  0.723335222517848E-003  0.894078918433249E-003  0.711965365737589E-003  0.224752279615757E-003 -0.925621338082011E-004 -0.186590371849400E-004  0.556443587656795E-002 -0.201123668088557E-001 -0.518749465156111E-002 -0.294556215889892E-002 -0.160592277905405E-002 -0.312725496515862E-003  0.383435641063801E-003  0.515854759607734E-003  0.302282899163509E-003 -0.528287065139341E-004 -0.277672822751221E-003
  0.185000000000000E+002 -0.390276626447523E-003 -0.212216785483903E-003  0.314420127937136E-003  0.723323063793635E-003  0.894061694516169E-003  0.711948629160223E-003  0.224744630852791E-003 -0.925559167461891E-004 -0.186223880883586E-004  0.556466798426364E-002 -0.201131195469095E-001 -0.518760766474510E-002 -0.294561317181101E-002 -0.160594589948368E-002 -0.312729395917871E-003  0.383439990701537E-003  0.515860188874774E-003  0.302285602032070E-003 -0.528303994954763E-004 -0.277679597332363E-003
  0.190000000000000E+002 -0.390255499259646E-003 -0.212204747591972E-003  0.314424507686039E-003  0.723320449810723E-003  0.894053736883371E-003  0.711939031778729E-003  0.224739752768459E-003 -0.925516503006468E-004 -0.185955742929039E-004  0.556484757502828E-002 -0.201137170240600E-001 -0.518769306721775E-002 -0.294564984174094E-002 -0.160596162075384E-002 -0.312731852627715E-003  0.383442372388841E-003  0.515862244400302E-003  0.302284867863009E-003 -0.528346845284085E-004 -0.277688093844802E-003
  0.195000000000000E+002 -0.390233217322735E-003 -0.212190265116319E-003  0.314432615938517E-003  0.723322502615181E-003  0.894050791736675E-003  0.711933685990975E-003  0.224736676821948E-003 -0.925487739528528E-004 -0.185765724113294E-004  0.556498001078016E-002 -0.201141656806413E-001 -0.518775517287059E-002 -0.294567560847637E-002 -0.160597220005984E-002 -0.312733390821879E-003  0.383443615484957E-003  0.515862538052847E-003  0.302282529809287E-003 -0.528400008315288E-004 -0.277697038964372E-003
  0.200000000000000E+002 -0.390215068975456E-003 -0.212178871324654E-003  0.314438493666083E-003  0.723323346718242E-003  0.894047697563436E-003  0.711928936422148E-003  0.224734084611483E-003 -0.925464279417561E-004 -0.185614725173451E-004  0.556508323364087E-002 -0.201145133311501E-001 -0.518780418766186E-002 -0.294569639246619E-002 -0.160598095502792E-002 -0.312734710285132E-003  0.383444765156513E-003  0.515863066632869E-003  0.302280932325470E-003 -0.528441475480085E-004 -0.277704304852134E-003
